,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
131,AmozdanLuis,🇨🇱🇨🇱🇨🇱▪︎Special Private Services▪︎Real State Agent▪︎Artist Independet ▪︎🇨🇱🇨🇱🇨🇱,,587,439,13752,4,"Top Influencers #actonclimate via #NodeXL https://t.co/yVHhrm92wR

@mikehudema
@pauledawson
@sustaintrends
@greenpeace
@arikring
@cleanairmoms
@repjoeneguse
@climatereality
@jane__eden
@mvollmer1

Top hashtags:
#actonclimate
#solar
#climatechange
#renewables
#wind
#climatecrisis","['actonclimate', 'NodeXL']"
132,MandaravaN,"#Goals :A viable future for humanity! Let's #WakeUp from the current dream, closr.

Big picture thinker. Time for multi-disciplinary thinking/systems solutions.","New Mexico, USA, Planet Earth",904,232,6955,0,"@MarkRonchettiNM Red flag warnings NOW show accelerating #ClimateChange -good reason why all should say NO to #HB57
It gives #NewMexico land owners ""right to burn"" even tree trunks w/o liability- U have 2 sue/prove negligence 4 damages by escaped fire.
In #SJC https://t.co/3grAIz7wdH
TODAY 130pm","['ClimateChange', 'HB57', 'NewMexico', 'SJC']"
133,imagine_garden,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",NJ,960,4780,230447,1,"Warm water means no gases, without gases (O2, #CO2) water plants don’t do photosyntesis and can’t breath. Warm oceans are a desert of death https://t.co/kwclTMtCPM #ClimateChange 
Huge ‘hot blob’ in Pacific Ocean killed nearly a million seabirds https://t.co/ybHUwbQpYa",['CO2']
134,4EverPetesGirl,♥AnimalsRNotRs2EatWearHarmUse♥#AdoptDontShop #Vegan #Crueltyfree #EndPuppyMills #4EverGrievingWidow #RetiredTeacher #Atheist #BidenHarris2020 #Outlander,Minnesota,7082,6441,326304,1,Is this the end of forests as we've known them? https://t.co/nk1GXzMjGY #forests #ClimateChange,"['forests', 'ClimateChange']"
135,FORATOM_nuclear,FORATOM acts primarily as the voice of the European #nuclear industry in discussions with #EU institutions. It promotes the peaceful use of nuclear energy.,Brussels,925,7150,12879,14,"In the face of #ClimateChange, meet some of the environmental activists that argue nuclear power is indispensable if we are to achieve net-zero emissions. 
https://t.co/ULXjilARMO",['ClimateChange']
136,chriscartw83,"Battle for climate is lost.
No one lifted a finger, except a few teenagers
Central banks are printing money to destroy climate stability.
Epic disaster is next",Caribbean,315,3007,38530,1,"#arctic #methane 
Not much to see today.
Red means 2100 ppb of methane today.  (1900 yesterday) 

I added #CO2 at 500 hPa for more fun
09.03.2021

#ClimateCrisis #ClimateBreakdown 
#GlobalWarming #GretaThunberg https://t.co/Iqy0e9wbVZ","['arctic', 'methane', 'CO2', 'ClimateCrisis', 'ClimateBreakdown', 'GlobalWarming', 'GretaThunberg']"
137,imagine_garden,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",NJ,960,4780,230447,3,"“The need to mitigate #ClimateChange will only grow more urgent. Let’s make #seaweed part of the solution” - @RodFujita

Great piece in @EnvDefenseFund on the potential of seaweed, the importance of policy &amp; key questions to answer as the industry scales
https://t.co/RdwrHi9gGS","['ClimateChange', 'seaweed']"
138,Gwin_ya,"Activist and D'n'D gamer :)
Born at 351 atmospheric CO2 ppm
Build your global utopia, noone will do it for you!","Sachsen, Deutschland",742,473,5324,3,"Wow. Vanessa Nakate (@vanessa_vash) to hold online lecture (""Klimakrise und Gesellschaft"") at my uni @HHU_de. You go girl!

@lasermichel, thanks for leading on diversity!

#ClimateEmergency #ActNow https://t.co/zVVuQP5C22",[]
139,MScNinjutsu,A safety engineer doing his part to make the world a slightly better place. Bigfoot and multiverse enthusiast. Hit me up if you need terrible advice. DMs cool.,,326,170,4308,1,"Although storms, floods, and erosion have always been hazards, in combination with rising sea levels they now threaten approximately $1 trillion in national wealth held in coastal real estate. #NCA4 #climatechange https://t.co/sCrKRV0wG7 https://t.co/ygMEjGe1bJ",[]
140,SamZakM,Contributor @ClimateFdn working on #MarinePermaculture. Alumnus @LSEGeography. Tweets on all things #seaweed. Views my own ; RT ≠ Endorsements.,"Geneva, Switzerland",717,121,371,3,"“The need to mitigate #ClimateChange will only grow more urgent. Let’s make #seaweed part of the solution” - @RodFujita

Great piece in @EnvDefenseFund on the potential of seaweed, the importance of policy &amp; key questions to answer as the industry scales
https://t.co/RdwrHi9gGS","['ClimateChange', 'seaweed']"
141,imagine_garden,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",NJ,960,4780,230447,1,"#ClimateChange could have direct consequences on #malaria transmission in Africa: https://t.co/oAAWGNvoRf https://t.co/xVbNoJkva0

MORE w/ EcoSearch: https://t.co/RdL2MUrzku","['ClimateChange', 'malaria']"
142,MultiEnergyLLC,A program management company providing professional consulting services to both the private and public sectors.,"Alpharetta, GA",493,69,185,3,"Explore our innovative solutions and turn them into your competitive advantage ☑️

Businesses must take accountability for their #carbonfootprint✊

Start your #carbonneutral journey now 🌱

#carbonoffsetting #co2 #emissions #climatechange #sustainability #climateaction #fintech https://t.co/UNgYaaC6mT",[]
143,ecobearwitness,#climate #ecology #environment #coronavirus #antifascist #water #ocean #forest #indigenous #renewable #wildlife #humanrights #protest #AI #ESG #space #science,"New York, USA",2379,578,31509,1,"#ClimateChange could have direct consequences on #malaria transmission in Africa: https://t.co/oAAWGNvoRf https://t.co/xVbNoJkva0

MORE w/ EcoSearch: https://t.co/RdL2MUrzku","['ClimateChange', 'malaria']"
144,imagine_garden,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",NJ,960,4780,230447,1,"World #CO2 and #Methane 
09.03.2021

let's zoom in, as usual, for fun🥳🥳🥳

Admire the methane color ledger now at 2100 )) 

#ClimateCrisis #climatechange #GlobalWarming  #GretaThunberg https://t.co/ZN5vKTA3jB","['CO2', 'Methane']"
145,FriendsBath,We are a group of people who want to prevent land bought with public money for the Citizens of Bath being privatised by a millionaire with an offshore base.,Bath,62,161,610,3,"The French pursue gold standard rugby whereas English clubs prioritise construction of huge new car parks on green spaces at the heart of historic cities?
#ClimateEmergency #CleanAir
#StopTheRecCarPark https://t.co/Vjiqz64TxZ",[]
146,ClimateFdn,We design #NaturalClimateSolutions that restore life and balance carbon in soils & seas | Creators of #MarinePermaculture™ | Featured in Drawdown & 2040,"Woods Hole, MA",540,768,376,3,"“The need to mitigate #ClimateChange will only grow more urgent. Let’s make #seaweed part of the solution” - @RodFujita

Great piece in @EnvDefenseFund on the potential of seaweed, the importance of policy &amp; key questions to answer as the industry scales
https://t.co/RdwrHi9gGS","['ClimateChange', 'seaweed']"
147,chouj,努力作一个有情调的人，“调”字读二声。,"Guangzhou, China",649,2974,13569,2,"Without efforts to mitigate #climatechange, six month long summers may become the new normal by 2100 in the Northern Hemisphere, says new research in Geophysical Research Letters. ☀️

https://t.co/Y8fxThvkVL

📷: Wang et al 2020/Geophysical Research Letters/AGU. #AGUPubs @theAGU https://t.co/RsQI55IdE7",['climatechange']
148,bobhillbrain,"Think first, do after",,495,364,32745,1,"Warm water means no gases, without gases (O2, #CO2) water plants don’t do photosyntesis and can’t breath. Warm oceans are a desert of death https://t.co/kwclTMtCPM #ClimateChange 
Huge ‘hot blob’ in Pacific Ocean killed nearly a million seabirds https://t.co/ybHUwbQpYa","['CO2', 'ClimateChange']"
149,IAgrE,We are the Institution of Agricultural Engineers,"Cranfield, Bedfordshire",283,1417,2841,3,"#SocEnvAwards // Have you nominated your colleague for the 2021 Environmental Professional of the Year award yet? Don't miss your chance! Nomination details: https://t.co/eHxlnE6eGl

#netzero #climateemergency #environmentalengineer #carbonreduction #climatechange 🌎",['SocEnvAwards']
150,imagine_garden,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",NJ,960,4780,230447,4,"Our planet is warming faster than at any time in human history and we're the ones causing it. Climate change is already affecting people and if we don't take the appropriate action now, the more dangerous it affects us all. 
#GlobalWarming #climatechange #GlobalWarmingMyths https://t.co/YEbVjDJT6U",[]
151,imagine_garden,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",NJ,960,4780,230447,1,#savenature #globalwarming click on the image👇👇👇 https://t.co/XCbXqxDQzq,"['savenature', 'globalwarming']"
152,dave_hunter4,engaging with the present to be a good ancestor (so only occasionally on here),Bristol,149,69,678,1,"With thanks to those who took part, here is a reflection on the #socialenterprise and the #climateemergency event I co-hosted last week - https://t.co/j3lj8xhuwV","['socialenterprise', 'climateemergency']"
153,nyonisdesk,A nuclear /radiation physicist working in Zimbabwe. Science advisor with passion for scientific research in zimbabwe. Working with community leaders,Harare,4999,2063,6304,14,"In the face of #ClimateChange, meet some of the environmental activists that argue nuclear power is indispensable if we are to achieve net-zero emissions. 
https://t.co/ULXjilARMO",['ClimateChange']
154,imagine_garden,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",NJ,960,4780,230447,1,"According to @EUCourtPress, Britain has “systematically and persistently” exceeded legally binding #AirPollution  limits for the past decade 🚙

https://t.co/kcoyJ1fJsq

#Pollution #ClimateChange #GlobalWarming",['AirPollution']
155,dominic_sign,I believe for greater to see things that i have never seen.,,24,0,3,0,"@SignPius @dr THE TIME FOR SIGNS, WONDERS AND MIRACLES WITH SIGN FIREMAN!!! follow this Page for staggering miracles and salvations that will change your life explosively!
#signfireman #globalwarming #gospel #instagospel #news
#welovesignfireman #international #globaldaily #sign #fireman","['signfireman', 'globalwarming', 'gospel', 'instagospel', 'news', 'welovesignfireman', 'international', 'globaldaily', 'sign', 'fireman']"
156,Zxcxz_xyz,"Zulu, X-ray, Charlie etc... Enthusiastic EV driver & advocate. Failed techblogger. Failed YouTuber. I like yellow. zxt@zxcxz.com",,667,138,17301,0,Tesla Supercharger Vs Battery Swapping: Tesla China VP Chimes In https://t.co/FKjKa8jPa4 #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy,"['ElectricVehicles', 'Tesla', 'EV', 'Renewables', 'ClimateChange', 'RenewableEnergy']"
157,Zxcxz_xyz,"Zulu, X-ray, Charlie etc... Enthusiastic EV driver & advocate. Failed techblogger. Failed YouTuber. I like yellow. zxt@zxcxz.com",,667,138,17301,0,A Federal Bill Would Give USPS $6 Billion For A Larger EV Fleet https://t.co/bOLgjuEwdz #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy,"['ElectricVehicles', 'Tesla', 'EV', 'Renewables', 'ClimateChange', 'RenewableEnergy']"
158,digiprintsie,We work with Clients to help them Advertise and Promote their Businesses. Call; 087 6104696 to get your Message out there. #Advertising #Business #Branding,Digiprints.ie | Ireland,2814,2239,15200,5,Laois #ClimateChange talks continue tonight at 7pm on https://t.co/NOrJZYrGHX with @WhinnyHowe of @esa Presented by @Dr_Niamh_Shaw in partnership with @creativelaois @midlandsscience &amp; @AbbeyleixTidy https://t.co/JvG9kX6a4o,['ClimateChange']
159,CoyoteGulch,Publisher of Coyote Gulch. Water issues junkie.,"Denver, CO",513,2270,181495,0,#Water and #climatechange: the #ColoradoRiver Basin case study — Qatium #COriver #aridification https://t.co/LFR3ol2M44,"['Water', 'climatechange', 'ColoradoRiver', 'COriver', 'aridification']"
160,TheGarrard,"Researcher, composer and performer - for the arts, museums and ethics. Co-director of @Cult_Unstained, tweeting in a personal capacity. He/him.",,2299,1147,5444,1,"The @sciencemuseum group’s stance on oil sponsorship is incoherent and ethically muddled. 

Great to see this being highlighted and challenged once again.

#museums #ethics #climatechange #museumsarenotneutral https://t.co/PLeTMIW8RA","['museums', 'ethics', 'climatechange', 'museumsarenotneutral']"
161,KanchaneG,"British Architect | Urban Designer | University of Cambridge, Martin Centre Researcher @arch_cambridge @Cambridge_Uni, Alumnus @Cambridge_Uni, @BartlettUCL","Cambridge, England",149,80,1942,2,"Join us TOMORROW at 3pm for the last event of term. Fionn Stevenson will discuss 'Housing Performance, Feedback and Learning'

Open to all: https://t.co/gezOA15vC9

@ArchitectsCAN @AEDeclares @EnergyCambridge @RIBACambridge #Architecture #Energy #ClimateEmergency https://t.co/apxrdswbGp",[]
162,edwardcmason,Tweeting about sustainable investment and climate change. Views expressed my own.,London,694,4009,4139,2,"As more organisations commit to #NetZero, @Forbes has identified issues that could hinder targets. Climate Champion @topnigel is calling for the honesty of companies on their #Scope3 emissions: they're “fundamental for credible #ClimateChange commitments.”
https://t.co/nsR0UrV5iK https://t.co/68Yq5j1dUI",['NetZero']
163,JoePorterUK,Cabinet Member for Climate Change & Biodiversity @StaffMoorlandDC ▪ UK’s 1466th #PointsofLight ▪ Vice Chair @LGBTCons ▪ @CanalRiverTrust ▪ School Governor,"Brown Edge & Endon, Staffs",9358,8807,68854,0,"Another great @DefraGovUK Local Adaptation Advisory Panel meeting. Good discussions on sustainable housing and Future Homes Standard, decarbonising the power grid, vision for adaptation and resilience at #COP26, and sourcing #ClimateChange expertise for local councils. 💚🏡⚡🌳🦋 https://t.co/p8nwPIDTfC","['COP26', 'ClimateChange']"
164,westmidlandsgp,"Building the Green Party from Hereford to Stoke, Coventry to Oswestry. We've got 50+ councillors across 20+ councils and we're planning for more. Join us! 💚","West Midlands, England",4236,3668,32390,8,"I’ve got a hint for @Jesse_Norman - we’re facing a #ClimateEmergency &amp; rail fares have just risen by 2.6% - get real. Cut public transport fares, invest in cycle routes &amp; electrify rail https://t.co/MuWbXnp7br",['ClimateEmergency']
165,McJabez,"A Human, Being. 😎",Nairobi kenya...,151,117,345,7,"With #innovative support to #agribusiness entrepreneurs across the county, we can end poverty, eradicate hunger, promote decent work &amp; economic growth all while combating #climatechange and promoting sustainable use of land. #AgriBizKilifi @EUinKenya @denmarkinkenya @EuMordue https://t.co/4reg8cqD4g","['innovative', 'agribusiness']"
166,TerrySm35170017,"Trees, Environment, Nature Conservation, Art.  Views are my own. Retweets do not necessarily mean I agree with the content.","Purbrook, Hampshire",41,79,571,126,What future do we want for our Uplands in @peakdistrict ? One where grouse moors are burnt or where we let our Uplands become wilder and rowan trees begin to regenerate across the landscape? Which is better to deal with #ClimateEmergency and #BiodiversityCrisis I wonder hmmm? https://t.co/Dxlmf7CGnJ,[]
167,AgroDer_Intl,"Professional consulting & advisory sevices. 

Studies, analysis & research: Primary Sector, Nature Conservation & Sustainable Development.
@agroder Intl account",Mexico,672,120,441,1,"#FoodSystems &amp; #ClimateChange

Food systems are responsible for more than 1/3 of global anthropogenic #GHG emissions.

(@NatureFoodJnl | @FAOstatistics  )","['FoodSystems', 'ClimateChange', 'GHG']"
168,FleetStWealth,"A Chartered, independent, fee-based, wealth management and financial advisory firm providing bespoke advice to individuals, companies and charitable bodies.","Temple, London",741,44,51,0,New #BarSustainabilityNetwork announced today by @thebarcouncil will aid #barrister profession’s efforts to combat #climatechange. Will help #barassociations and #chambers shrink #carbonfootprint and costs. Virtual launch event set for 1730 on Mon 15 Mar. https://t.co/bxUGfpBhKS,"['BarSustainabilityNetwork', 'barrister', 'climatechange', 'barassociations', 'chambers', 'carbonfootprint']"
169,GESDAglobal,"Geneva Science and Diplomacy Anticipator: Use the future to build the present
Retweet is not endorsement.","Geneva, Switzerland",221,304,427,1,"Let’s imagine you have inherited a fortune &amp; want to solve the world’s most pressing #problems. Here’s the best way to spend your #money to make a difference to #climate change, #disease &amp; #poverty.
👉https://t.co/Z4Dk9CDJTB

@newscientist @rowhoop #ClimateChange #Education #CO2","['problems', 'money', 'climate', 'disease', 'poverty', 'ClimateChange', 'Education', 'CO2']"
170,AllanMargolin,"Husband, Dad. Creator of I ♥ Climate Scientists, Climate Nexus Hot News. Former EDF Media Dir. & ABC Political Prod. AOMO. RT's ≠ endorsements",NYC USA,11876,31143,96378,1,"Bezos plans to spend $10B by 2030 on #climatechange 

https://t.co/DFe4qORB3o

@ReportsDaNews @barntiques859 @ArtKetterhagen1 @grannieof10kids @americanmclass @jvhellew @ana_luvs_TWD @13WJM @IHaveDragons @SoldierofResist @JulesNYNY @PeachResist @AuntMichelle77 @March4HerandUs https://t.co/sVDzj2iBYU",['climatechange']
171,Rabnew,Wondering if this platform is doing anything. Is it a waste of time?,,3090,1729,83874,0,@BestStephen @knugent4118 @JustinTrudeau He is timid about hurting his #bigoil friends and doing what has to be done for the planet. He would rather see more #climatechange disaster than cost them money.,"['bigoil', 'climatechange']"
172,imagine_garden,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",NJ,960,4780,230447,1,"Join in and speak up for the future of the planet 
We need #ClimateActionNow 
#Australia must stop adding more fossil fuels to the climate fire.
#environment #ExtinctionRebellion #fridaysforfuture #FFF #schoolstrike4climate #GoSolar #nocoal https://t.co/nrTHCQYsNS","['ClimateActionNow', 'Australia']"
173,TheAgroIndex,"#Agriculture and food systems.  
Data | Stats | Indicators | Rankings | Maps | Charts
By @AgroDer | @AgroDer_Intl",,3397,644,240,1,"#FoodSystems &amp; #ClimateChange

Food systems are responsible for more than 1/3 of global anthropogenic #GHG emissions.

(@NatureFoodJnl | @FAOstatistics  )","['FoodSystems', 'ClimateChange', 'GHG']"
174,TurkiAntof,"Lo Esencial es Invisible...🦊🌠❤ #AntoineDeSaintExupéry //
Las palabras nunca alcanzan cuando lo que hay que decir desborda el alma...✨❤#JulioCortázar","Antofagasta, Chile",8227,8091,402756,69,"By recent global standards, February 2021 was relatively cool.
This doesn't mean #climatechange has stopped.
Average February CO2 concentrations at Mauna Loa, the world's benchmark station, were 416.75 parts per million, up from 413.4 ppm in February 2020.
https://t.co/kJLahYTm79 https://t.co/xvuIEBKUTa",['climatechange']
175,China2ASEAN,Ambassador of the People's Republic of China to ASEAN,"Jakarta, Indonesia",362,27405,2263,0,"3/4 New highlights need to be created. China is ready to jointly implement ASEAN-China Year of Sustainable Development, strengthen coop in environment protection, #povertyalleviation, #disasterprevention&amp;reduction, #climatechange &amp; building of the #BlueEconomyPartnership. https://t.co/kWEH2eEKZ2","['povertyalleviation', 'disasterprevention', 'climatechange', 'BlueEconomyPartnership']"
176,imagine_garden,"""My grandmothers' ingenuity overcame gender discrimination and economic exploitation in a hostile society to prove their genius."" #earthsoldierbook
E.S.C.S",NJ,960,4780,230447,2,"Huge growth in offshore wind farms expected according to BP
#ClimateChange #ClimateChangeIsReal #ClimateEmergency #renewables 
#EVs #ClimateActionNow 
https://t.co/oYmrapScIN","['ClimateChange', 'ClimateChangeIsReal', 'ClimateEmergency']"
177,PierreNkulu,Je suis une édition unique et limitée,,61,8,262,6,"Hello Humaneeste! 📣📣📣

The degradation of our environment by our actions suggests that someone else will come to save our planet. To save future generations, become that person for a better world.
#LetsActNow 
#Digital4Action
#FridaysForFuture
#ItsTodayNotTomorrow https://t.co/2keeMnmaX5",[]
178,whohasib_,SRKians 🤗❤️,"Barasat, India",795,188,4275,442,The latest #ClimateChange Report from @UNFCCC ⬇ https://t.co/U3oAsp4acx,['ClimateChange']
179,CuencaPereyra,Yo misma,,22,1,11,1143,"10% increase of women in parliament resulted in 24% decrease in emissions per capita #ActForEqual to act for our planet #GenerationEquality creates gender-equitable #ClimateAction voices of women disproportionally impacted by #ClimateChange
@unwomen @unep
#InternationalWomensDay https://t.co/Jebbs02Klj",['ActForEqual']
180,evNewsTopic,News and analysis of the electric vehicle market. ev News Topic Blog will monitor all developments to make you travel in the world of electric mobility.,Europe,756,597,478,2,"Huge growth in offshore wind farms expected according to BP
#ClimateChange #ClimateChangeIsReal #ClimateEmergency #renewables 
#EVs #ClimateActionNow 
https://t.co/oYmrapScIN","['ClimateChange', 'ClimateChangeIsReal', 'ClimateEmergency', 'renewables', 'EVs', 'ClimateActionNow']"
181,limidoh38,"reasonably nice, respectful though opinionated....Happy to chat but rarely reply to DMs from anyone, DMs from new followers results in an instablock 🤷🏻‍♀️👍",Newcastle upon Tyne,5471,5464,191779,4,"#Budget2021 was a mean &amp; limited #matesrates sticking plaster of a #budget lacking vision &amp; ambition. There is nothing for #socialcare, our key industries or #Newcastle &amp; next to nothing on #Climatechange &amp; #infrastructure https://t.co/tBegyXUATe","['Budget2021', 'matesrates', 'budget']"
182,KbLeecaster,"Vet. Scientist. Born at 322 ppm. Retweets not necessarily endorsements.
This is what democracy looks like when people don't vote.",USA,4950,2275,192605,6,"#TuesdayAfternoon Reading: For the #ClimateEmergency, it's all about temperatures, and the charts go up and to the right, even for #Oceans, plus a Tropical Warning, and ways to track #emissions reduction progress all on today's edition of @climateguyw 's Extreme Temperature Diary https://t.co/RY3bK8Skdu","['TuesdayAfternoon', 'ClimateEmergency']"
183,SujalaPant,Global citizen with a Nepali heart.  Tweets are my own.,,887,479,2459,3,".@undpiniraq supports women in marshes who are most affected by #climatechange through:

💧Clean water &amp; safe sanitation

🌱Livelihoods through responsible ecotourism

📄Effective public policies for socioeconomic 
integration of youth &amp; women

@Zena_aliahmad #IWD2021 https://t.co/wk8syxABbP",['climatechange']
184,maritxulanda,phD in neuropharmacology that found take care of a family in USA a more challenging and important task,,659,200,18729,112,"An island in #Antarctica lost 20% of its snow in just 9 days this year and recorded its first heatwave ever: https://t.co/9qhPjaa4ta

There's no time to waste. No planet B. Let's protect each other and the planet. #ActOnClimate.

#ClimateStrike #ClimateAction https://t.co/N03pzA5Bvp",['Antarctica']
185,creativequills,We deliver strategic marketing campaigns and training. Visit our website to get a team of expert writers and strategists on your side.,"Colchester, Essex",314,1422,2462,0,"We’re so proud to be based on a campus taking an active stance against the #climateemergency.
Next week (15th-19th) the @UoE_Sus will be hosting #Environment Week. Check out their programme of online events and activities to see how you can get involved!
#essex #events https://t.co/aH9JVOMm0H","['climateemergency', 'Environment', 'essex', 'events']"
186,SujalaPant,Global citizen with a Nepali heart.  Tweets are my own.,,887,479,2459,2,"Deep-rooted #gender inequalities and discrimination are at risk of deepening in contexts where the impacts of:

🔹#Climatechange
🔹#COVID19 pandemic 
🔹Displacement 

INTERSECT!

@SujalaPant #IWD2021 https://t.co/bhyPlSEhT1",['gender']
187,CBCcolleenKG,"CBC News editor/presenter, itinerant radio host and avid reader","Fredericton, New Brunswick",1570,2418,25296,14,"It was yet another mild winter in the Maritimes; the warmest on record for some. 
Warmer than average winters (Dec-Jan-Feb) have become more prevalent across much of the region over the past decade. 
A closer look here: 
https://t.co/lERxXeyx5j 
#nswx #nbwx #climatechange https://t.co/c1VmqlnZMk",[]
188,ecobearwitness,#climate #ecology #environment #coronavirus #antifascist #water #ocean #forest #indigenous #renewable #wildlife #humanrights #protest #AI #ESG #space #science,"New York, USA",2379,578,31509,0,"Louisville chemical plant emits super-pollutant equal to #emissions from 671,000 vehicles: Courier Journal https://t.co/boXbhRfd7q #ClimateChange

More on Web: https://t.co/UNObv2nciE","['emissions', 'ClimateChange']"
189,whohasib_,SRKians 🤗❤️,"Barasat, India",795,188,4275,573,"Healthy planet, healthy people. How slowing #ClimateChange saves lives:
https://t.co/op0MESX04p",['ClimateChange']
190,SujalaPant,Global citizen with a Nepali heart.  Tweets are my own.,,887,479,2459,3,"In the Arab States, 5⃣0⃣% of the refugee population is female, &amp; at least a third of the refugee households are female-headed.

Women carry triple burdens as they are disproportionately impacted by #climatechange, forced displacement, and #COVID19!

@SujalaPant 

#IWD2021 https://t.co/s9kPlvrBJ5",[]
191,MadashaHaldheef,"waa madal aqooneed lagu soo bandhigo aqoonta beeraha 
Madashu waxay soo gudbinaysaa Doodo , Aqoon iswaydaarsiyo , Tababarro iyo cilmibaarisyo Laxariira beeraha.",,41,46,18,8,Our partners &amp; #Hirshabelle farmers cooperative have invested 25 kW solar pump system to adapt #climatechange impacts by pumping the irrigation water from the well when Shabelle River water level drop/dries up. @Raithow @USAIDSomalia @WFPSomalia https://t.co/Dmm6yazure,"['Hirshabelle', 'climatechange']"
192,ajay_bhave,"Core Research Fellow - Water Security and Sustainable Development Hub, Newcastle University","Newcastle Upon Tyne, England",214,263,1089,5,"""Assessing the Quality of Regional Climate Information""

New paper (and congrats!) from @delfina0304 @sdessai @PriestleyCentre,  Seamus Bradley &amp; @climatehat.  

This paper also shows how #philosophy can contribute to climate #science!  #climatechange 

https://t.co/PPGvD7gTRH",[]
193,Rita50432255,,,59,45,7059,17,"Our Facebook page has been verified. Please like and share it. 
We are #FridaysForFuture https://t.co/3BAZCSTVqW",['FridaysForFuture']
194,SGT_R0ck,"Here's tae us
Wha's like us
Damn few,
And they're a' deid
-Robert Burns",Cullercoats,2339,369,119575,4,"#Budget2021 was a mean &amp; limited #matesrates sticking plaster of a #budget lacking vision &amp; ambition. There is nothing for #socialcare, our key industries or #Newcastle &amp; next to nothing on #Climatechange &amp; #infrastructure https://t.co/tBegyXUATe","['Budget2021', 'matesrates', 'budget']"
195,AnahiRRII,Lic. en RRII/B.A. in IR (UDELAR). Servicio Exterior/Foreign Service 🇺🇾 En La Haya/Currently in The Hague 🇳🇱 RT/Follow/Fav ≠ endorsement. Personal account.,"La Haya, Países Bajos",308,57,98,7,2021 is the International Year of Creative Economy for Sustainable Development. #GlobalGoals . Find out how @UNIDO works to combat #climatechange and achieve the #SDGs by helping #Uruguay transition to a greener economy #greenenergy:  https://t.co/hrN4LmwfJf 🔋💧♻ https://t.co/59jKRuRImn,['GlobalGoals']
196,DorothySkrytek,"S.O.S COP26 Clean Development Mechanism-fossilfuel plastics/biomass/radwaste bioenergy incinerators eg Derby; 4.3 MILLION tns CO2,Deaths Brought FW,dioxin,NO2..","Derby, Derbyshire",1572,645,15687,0,"@HitachiGlobal @COP26 @UN Yet Hitachi Zosen Innova high-CO2, dirty plastics/biomass 'energy' recovery incinerator contracts eg Edmonton, will destroy future generations resources, worsen #climatechange 
+ destroy #circulareconomy waste reduction,reuse, repair, composting, recycling https://t.co/88Hr4Rx108","['climatechange', 'circulareconomy']"
197,ChiOnwurah,"Labour Member of Parliament for Newcastle Central, Shadow Minister, Digital, Science & Tech For constituency casework email me: chi.onwurah.mp@parliament.uk",Newcastle,923,44792,36303,4,"#Budget2021 was a mean &amp; limited #matesrates sticking plaster of a #budget lacking vision &amp; ambition. There is nothing for #socialcare, our key industries or #Newcastle &amp; next to nothing on #Climatechange &amp; #infrastructure https://t.co/tBegyXUATe","['Budget2021', 'matesrates', 'budget', 'socialcare', 'Newcastle', 'Climatechange', 'infrastructure']"
198,mary_swilling,"Grammy, leftest-Dem, atheist, historian, PHD-abd forever
Married 48yrs
#BLM
#EndHyde
#HoldRepublicansAccountable
#EndGOPwarOnWomen
#NOW_BoycottSouthCarolina",SC,17301,16247,490003,9,NOW WE FIX: Trump Eliminated Science For To Increase Corporate Profits. READ: https://t.co/poWcClBO9W #SmartDissent #ScienceTwitter #ClimateChange @EPA https://t.co/22PzMgXpW6,['SmartDissent']
199,cevkceren,"Doctoral researcher @MPIfG_cologne
and @unidue
Mainly focusing on China's climate change policies, environmental governance, and environmental activism",,120,46,28,11,“#climatechange and contested (economic) futures”: The new issue of economic #sociology newsletter 22-2/2021 is now online at https://t.co/jSqJH3TmbA https://t.co/owd0CT4Qoc,"['climatechange', 'sociology']"
200,DrRueckauf,Digitale Themen - Wirtschaftsnachrichten Wirtschaftspolitik - Umwelt & Naturschutz 🇩🇪🇩🇪🇩🇪,Deutschland,1951,2919,133781,17,"🗣️🇪🇺🌱#DidYouKnow that #Europeans think that changing individual behaviour is the best way to fight #climatechange, whereas in #America &amp; #China, more trust is placed in #innovation? Read our latest #Climate #Survey to find out more 👉https://t.co/plZKWFmet7 #TheFutureIsGreen https://t.co/kIFh3YmKrn","['DidYouKnow', 'Europeans', 'climatechange']"
